author_name,title,description,hourly_rate,prices_in_dollar,review_count,overall_rating,comments,author_location,author_job_success_rate,author_bio,whats_included
Dhanushka A.,"You will get replica, design, redesign, or duplicate Shopify store with custom coding","Hi, I’m Dhanushka a Certified Shopify Expert. If you want to replica, design, redesign, or duplicate the Shopify store with custom coding, then you are in the right place. I build awesome, unique, professional Shopify Websites, and Shopify Dropshipping Stores. My Services include Setup Shopify Store, Clone/Copy/Duplicate any other layout, Fully automated dropshipping store, SEO Optimization, and much more. I will ensure for you a neat and clean source code, complete source file, SEO Friendly, 100% secure, and Mobile Responsive.",$150,"[150, 350, 650]",148,4.8,"['Dhanushka is fantastic. We needed to make a huge spreadsheet! he was able to get a lot done within 10 hours!!!! 100% will use her in the future again!!!!', 'Fulfilled job as requested.', 'Thank you for finding emails and names of business reporters.']","Kithulgala, Sri Lanka",100.0,"With over a decade of experience across diverse industries, I specialize in lead generation, data entry, and LinkedIn Sales Navigator solutions, helping businesses identify and connect with their ideal prospects.","| Service Tiers    | Starter $150       | Standard $350       | Advanced $650       |
|------------------|---------------------|----------------------|---------------------|
| Delivery Time     | 5 days              | 7 days               | 10 days             |
| Number of Revisions| Unlimited          | Unlimited            | Unlimited           |
| Number of Pages   | 5                   | 7                    | 10                  |
| Number of Products| 10                  | 50                   | 100                 |
| Number of Plugins/Extensions Installed| 5 | 7 | 10 |
| Design Customization| Yes               | Yes                  | Yes                 |
| Responsive Design| Yes                  | Yes                  | Yes                 |
| Content Upload| Yes                    | Yes                  | Yes                 |
| Payment Gateway Setup| Yes              | Yes                  | Yes                 |"
Junaid A.,"PSD, Sketch, Figma to Custom Shopify Theme Development","You will get a full custom Shopify theme development from your design files like PSD, Sketch, or Figma. The service includes unlimited revisions, delivery of multiple pages, product addition, and installation of plugins.",$150,[150],120,4.9,"['Another excellent experience with Junaid.', 'He was so knowledgeable and easy to work with. His communication was top notch.', 'It was great working with Junaid! He instantly understood what was needed and got the job done perfectly!']","Rawalpindi, Pakistan",100.0,Top Rated | 12+ years of experience in Shopify & WordPress development,"| Feature                          | Details                           |
|----------------------------------|-----------------------------------|
| Delivery Time                    | 3 days                          |
| Number of Revisions              | Unlimited                       |
| Number of Pages                  | 2 pages                         |
| Number of Products               | 5 products                      |
| Number of Plugins Installed       | 5 plugins                       |
| Design Customization             | Customized color scheme/layout   |
| Responsive Design                | Design fits multiple devices      |
| Content Upload                   | Content uploaded to the site     |
| Payment Gateway Setup            | Payment processing enabled        |"
Moses T.,MailChimp landing page | Mailerlite automation | Convertkit campaign,"Do you need a Mailchimp Expert or Mailwizz to put up a Mailchimp email marketing, Mailchimp Template, mailing Lists, Mailchimp Wordpress integration, Mailchimp Automation Campaign for your email marketing, email design, email Template, Email lists, Email lists Building, Email campaign? If that's the case, I'm here to assist you. I can build up any Mailchimp campaign and create a professional Mailchimp template for you. I can also use Mailchimp to activate the Mailchimp Automation Email Campaign from your store or website. 

I can help you with:
- Automation campaign
- Audience, group, segment creation
- Responsive email template design
- Ecommerce email series setup
- Signup or subscription form design
- Popup form design and setup
- Landing page design
- RSS Feed campaign setup
- RSS Feed email template design
- Ad campaign setup
- Merge tag and audience tagging
- Wordpress, Woocommerce, Shopify integration

Contact me now and let me get started immediately. we could also schedule a meeting to further discuss your needs.",$50,"[50, 100, 150]",39,4.4,"['A job well done, highly recommended and will hire again', 'Your work on the Contact Lists and the Campaign revamp is truly amazing. Thanks a lot Moses!', ""That's crazy bro beat around the price and then charge me $80 for a subpar email.""]","Lagos Island, Nigeria",59.0,"Are you experiencing poor results in your Marketing activities and looking for an Email Marketing Specialist with excellent experience? Search no further, I'm available and can hop on video calls.  
🏆 My Services 🏆  
✔️ CRM Accounts Setup  
✔️ Branded Campaigns  
✔️ Graphic design  
✔️ Social Media Post  
✔️ Landing page design  
✔️ A/B testing and optimization  
✔️ Branded Template & Newsletter design  
✔️ Workflow / Automation setup (Welcome Email, Abandon Cart, Order Confirmation)  
✔️ 100% Email Deliverability  
✔️ Email Marketing Strategy  
✔️ Contacts Upload, Scrubbing & Segmentation  
✔️ Signup forms  

🏆 Tools 🏆  
✔️ Mailchimp  
✔️ HubSpot  
✔️ Klaviyo  
✔️ Brevo  
✔️ Go High Level  
✔️ Zoho  
✔️ Active Campaign  
✔️ MailerLite  
✔️ ConstantContact  
✔️ Canva  

I am happy you know your brand deserves visually appealing and responsive contents that effectively communicate your product's value and captivate audiences. Beyond design, I bring experience creating compelling content, precise audience segmentation, Email flows, Lead generation, and tracking metrics to continuously optimize campaign performance this helps drive meaningful engagement and conversions.","| Service Tiers | Starter $50 | Standard $100 | Advanced $150 |
|----------------------|--------------------|--------------------|--------------------|
| Delivery Time        | 2 days             | 3 days             | 1 day              |
| Number of Email Sends | 10000           | 2000               | 3000               |
| Number of Recipients  | 1000             | 2000               | 3000               |
| Analytics Report      | -                  | -                  |                    |
| Audience Segmentation  | -                  | -                  |                    |
| Customer Lifecycle Messaging | -          | -                  |                    |"
Md Mamunur Rashid S.,"You will get Shopify Experts, Shopify Developer, Shopify designer, eCommerce Experts","Dear Upwork Community, Are you looking for a professional Shopify developer or Shopify expert to build your Shopify store? Yes, you landed on the right place; I'll help you to design your Shopify store or Shopify website based on your requirements or business plan. Contact me any time for a free consultation. What I Offer:-✅ Shopify Store setup ✅ Shopify Theme Development✅ Shopify Theme customization✅ Adding custom functionality to the store✅ Apps setups and configuration ✅ Fixing bugs and issues from your store✅ Adding trust badges in your store✅ Skip Shopify Cart page✅ Custom Font integration✅ Custom slider on any page✅ Custom Home page or product page template✅ Adding a new section in existing themes. Why would you hire me?✅ After Sale Support✅ 24/7 Fast & Friendly Communication✅ Unlimited Revisions Until Satisfied✅ Highly Professional Service at a Fair Price. I am passionate about being a valuable part of your success story, focusing on long-term growth rather than just a simple task. Let’s collaborate and create impactful results together!",$99-$399,"[99, 299, 399]",6,5.0,"['Excellent communication. Really appreciated working with you on this.', 'Great job! Everything completed as promised.', 'Super responsive and quick turnaround.', 'Excellent Work', 'Would love to work with him again in next projects.']","Brahmanbaria, Bangladesh",100.0,"Hello Upwork Community,I've worked with a Freelancing-based reputed company in the last 8 years under the agency profile. Now, I'm seeking a part-time or full-time, or long-term job on this platform. During my corporate career, I have worked with a few thousand international clients over the world. I have my patients work under pressure and am quite determined & honest about doing the work in a sophisticated way to complete the job successfully. I am passionate about being a valuable part of your success story, focusing on long-term growth rather than just a simple task. Let’s collaborate and create impactful results together!","| Service Tiers  | Starter  $99 | Standard  $299 | Advanced  $399  |
|----------------|---------------------|---------------------|---------------------|
| Delivery Time   | 3 days                | 5 days                  | 7 days                |
| Number of Revisions | Unlimited         | Unlimited         | Unlimited         |
| Number of Pages | 5                   | 10                  | 15                  |
| Number of Products | 1                  | 10                  | 20                  |
| Design Customization | Yes               | Yes               | Yes               |
| Responsive Design | Yes                | Yes               | Yes               |
| Content Upload | Yes                  | Yes               | Yes               |
| Payment Gateway Setup | Yes              | Yes               | Yes               |"
Jane Doe,Professional Web Development,Offering high-quality web development services to create responsive and user-friendly websites tailored to your needs.,$50,"[500, 1000, 1500]",120,4.8,"['Great experience! Highly recommend.', 'Very professional and delivered on time.', 'The website looks amazing!']","New York, USA",95.0,Web developer with over 5 years of experience specializing in front-end technologies and user experience design.,"| Service | Description |
| --------| ----------- |
| Initial Consultation | Discuss project requirements and goals |
| Responsive Design | Ensure the website works well on all devices |
| Full Website Development | Build the website based on your specifications |
| SEO Optimization | Basic SEO to help with search rankings |
| Support & Maintenance | Ongoing support for your website post-launch |"
Faisal A.,Wordpress Website from Top Wordpress Designer Expert,"Need a WordPress developer who truly understands what makes a website work? You've found the right person! I specialize in WordPress, offering web development that's tailored to your needs—whether you're looking for a sleek business website or a fully functional online store with WooCommerce. As a WordPress expert, I don’t just build websites; I create experiences. I blend web design and development to ensure your site looks great and feels intuitive for visitors. From front-end work with HTML and CSS to full-stack capabilities with JavaScript and PHP, I’ve got the technical skills to bring your vision to life. Need a custom Shopify template or unique graphic design? I handle that, too!",Not specified,"[80, 120, 220]",27,4.9,"['Faisal did a wonderful job and was very responsive to make corrections as needed.', 'Had a great experience working with Faisal, he was responsive and followed requirements/instructions as needed.', 'Faisal is excellent at understanding what needs to be accomplished and working in an iterative fashion towards the goal.']","Karachi, Pakistan",100.0,"With 14+ Years of experience in Wordpress Designing, Wordpress Development and Wordpress Theme customization, I deliver tailored solutions that drive results. I provide comprehensive, high-quality solutions to meet your business needs.","| **Service Tiers** |  Starter  $80 |  Standard  $120 |  Advanced  $220  |
|----------------|---------|---------|---------|
| Delivery Time   | 3 days   | 5 days   | 8 days   |
| Number of Revisions | 3 | 5 | 8 |
| Number of Pages | 5 | 7 | 10 |
| Number of Plugins/Extensions Installed | 4 | 6 | 10 |
| Design Customization | Yes | Yes | Yes |
| Content Upload | Yes | Yes | Yes |
| Responsive Design | Yes | Yes | Yes |
| Ecommerce Functionality | No | Yes | Yes |"
Eunice Monice A.,"Shopify Landing Page with Gamepage, Zipify, Pagefly, Replo and Shogun","Looking for a landing page that turns visitors into loyal customers? You’re in the right place! With over 8 years of experience in designing Shopify landing pages, I specialize in creating layouts that not only look stunning but drive results.

What I Offer:
✔️ Conversion-Focused Landing Page Design
✔️ Expert use of Shopify page builder apps: Shogun, PageFly, GemPages, Zipify
✔️ Liquid Template Customization
✔️ Subscription App Integration
✔️ Review App Customization

With my expertise, your landing page will be optimized for maximum conversions. Don’t just take my word for it—check out the glowing reviews from my clients on my profile. Let’s build a landing page that delivers real results!",$100,"[100, 250, 400]",8,4.9,"['Eunice Monice took my Shopify store to the next level!', 'Working with Eunice Monice has been a game-changer for my Shopify dropshipping store!', 'Monice is amazing, a great listener, and very knowledgeable.']","Lagos, Nigeria",100.0,Shopify Expert & Designer For Jewelry Brand. Highly Skilled E-commerce Expert & Freelancer with 100% Job Success Score.,"| Service Tiers | Starter | Standard | Advanced |
|---------------|--------|----------|---------|
| Delivery Time | 1 day | 3 days   | 5 days  |
| Number of Revisions | Unlimited | Unlimited | Unlimited |
| Number of Pages | 3 | 3 | 4 |
| Design Customization | - | - | - |
| Responsive Design | - | - | - |
| Content Upload | - | - | - |
| Payment Gateway Setup | - | - | - |"
Omoyele S.,Ecommerce Email Marketing Flows in Klaviyo or Klaviyo Shopify Sales Funnel,"Let's Setup Powerful E-Commerce Email Flows in Klaviyo! Hello friend, my name is Omoyele, founder of BRIGHT TEMPLATE and can help you set up e-commerce sales funnels in Klaviyo. I have helped e-commerce brands get started with email marketing and generate revenue from it through powerful email flows and campaigns. I have been doing email marketing for almost 10 years now and am also a Klaviyo Partner. I can help your store grow by: 1 - Setting up email flows/automation in Klaviyo to nurture and convert leads 2 - Creating beautiful pop-ups that capture leads 3 - Segmenting your subscriber list. I will set up the following flows for you: 1 - Abandoned Cart (To recover lost sales), 2 - Browse Abandonment Flow (To engage interested prospects), 3 - Setup Welcome Series (To nurture and convert new leads), 4 - Customer Appreciation Flow (To thank customers and build a better relationship), 5 - Win-back Flows (To win-back lapsed customers), 6 - Post Purchase Flow (To increase customer lifetime value or CLV). Again, I appreciate your being here! Simply send me a message and we will get started!",$35,"[35, 130, 250]",33,4.7,"['I love the website Omoyele designed for me, very neat and aesthetic. The website also looks great on mobile phones which is what I was really looking for. I highly recommend him, he is very fast, polite and communicates fluently.', 'Omoyele did a good job following directions but had to be asked to make corrections to his images that were obviously wrong.', 'Very professional contact and super friendly. Amazing skills and knowledge on how to create and promote website and campaigns.']","Osogbo, Nigeria",100.0,"Top-Rated Social Media Manager | Content Strategist | Expert in Facebook & Instagram Ads. My name is Omoyele Sheriffdeen and I am the founder of YELE STUDIO PRO. I'm a certified Social Media Manager and Content Creator with over 20,000+ hours of proven success on Upwork. I specialize in helping businesses grow their online presence through strategic planning, organic growth, and paid campaigns. My Expertise Includes: Instagram account management, content creation, TikTok video editing, and much more.","| Service Tiers | Starter $35 | Standard $130 | Advanced $250  |
|----------------------|-----------------|------------------|----------------|
| Delivery Time        | 2 days          | 3 days           | 4 days         |
| Number of Email Templates | 2          | 6                | 8              |
| Number of Email Sends | 2               | 6                | 8              |
| Number of Trigger Emails Setup | 2     | 6                | 8              |
| Number of Revisions | 1                | 3                | 5              |
| Analytics & Tracking Setup | Yes         | Yes               | Yes            |
| Subscriber Form Setup | Yes           | Yes               | Yes            |"
Simeon O.,"Hubspot Automation, Hubspot CRM, Hubspot landing page, Email Template","If you’re struggling to manage campaigns, set up workflows, integrate third-party tools, or configure your CRM, I can help. With extensive experience in HubSpot, I’ve helped businesses streamline operations, improve customer engagement, and drive results. 

#### Here’s what I’ll deliver in this project:
👉 Campaign Management: Plan, execute, and optimize HubSpot email and marketing campaigns to boost performance.
👉 Pipelines, Workflows & Automations: Set up and refine automation sequences for efficient lead nurturing and sales management.
👉 3rd-Party Integrations: Connect HubSpot with tools like Shopify, Salesforce, and others for a unified platform.
👉 CRM Configurations: Customize and optimize your HubSpot CRM for better tracking, reporting, and customer management.
👉 CMS Website Creation: Design and build a HubSpot CMS website tailored to your business needs. 

From marketing automation to CRM optimization, I ensure your HubSpot setup works for you, not against you. 
HubSpot is the key to scaling your business—don’t wait to harness its full potential.",$50,"[50, 150, 300]",25,4.4,"['Great communicator and fast turnaround on work product, will consider for future projects.', 'Bringing Simeon onboard was a pivotal decision. His expertise and communication skills are unparalleled.', 'Working with Simeon was a game-changer for our email campaign.', 'Simeon is a Klaviyo marketing virtuoso.', 'This project was to set up an email campaign, but there were multiple missed deadlines.']","Lagos, Nigeria",76.0,To say EXCELLENT is not enough to describe my experience with Simeon. He is one of a kind. No wonder his already existing success. Very open to input. To anyone thinking of putting a project together and getting way more than expected. Simeon is the person to hire. His collaboration to my project has been unparalleled. Thank You,"| Service Tiers | Starter ($50) | Standard ($150) | Advanced ($300) |
|---------------|----------------|------------------|------------------|
| Delivery Time | 2 days         | 4 days           | 6 days           |
| Number of Revisions | 0          | 0                | 0                |
| Account Settings Review | Yes       | Yes              | Yes              |
| Campaign Optimization | Yes       | Yes              | Yes              |
| Subscriber Form Setup | Yes       | Yes              | Yes              |
| Customer Lifecycle Messaging | - | Yes              | Yes              | 
| Marketing Action Plan | -          | Yes              | Yes              |"
Marjib Chiran,"Figma To Shopify Conversion Using Pagefly, Replo, Gempages, Shogun, Zipify","I will convert Figma Design To Shopify Using Pagefly, Replo, Gempages, Shogun, Zipify. This service includes custom codes if needed (HTML, CSS, JS & Shopify Liquid), product implementation, and setting all functions according to Figma Design. The tools I use include Pagefly, Gempages, Shogun, Zipify, and Replo. I also assist in Shopify product uploads, logo/image background removal, and GIF creation. My services include building a complete high-converting Shopify store, theme customization, and ongoing support.",$50.00,"[100, 200, 500]",57,4.9,"['Top guy, recommend', 'Another successful project with Marjib. I will continue to use him for various things - extremely helpful and hardworking', 'He works hard and fast and extremely accurately. Wish I had more work for him!', 'Marjib works quickly and well. He is coachable and works very hard.']","Madhupur, Bangladesh",86.0,"Marjib is a Shopify Website Design specialist with proven expertise in creating high-converting Shopify store designs. He specializes in utilizing industry-leading Shopify page builders such as Pagefly, Shogun, Gempages, Replo, and Zipify to develop responsive and visually appealing landing pages that enhance sales and drive engagement.","| Service Tiers | Starter | Standard | Advanced |
|---------------|--------|----------|----------|
| Delivery Time | 2 days | 4 days | 7 days |
| Number of Revisions | 3 | 4 | 4 |
| Number of Pages | 1 | 1 | 1 |
| Number of Products | 1 | 2 | 3 |
| Number of Plugins/Extensions Installed | 5 | 7 | 10 |"
